sku,slug,name,group_name,size,size_label,pack_qty,unit,price,currency,manba_narx,manba_valyuta,brand,category_uz,subcategory_ru,supplier,price_date,in_stock,featured
NG-0081,troynik-perehodnik-200x110-absan-sanat,Тройник переходник 200x110 Absan Sanat,Тройник переходник,200x110,Размер,2,dona,314600,UZS,314600,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0082,troynik-perehodnik-250x200-absan-sanat,Тройник переходник 250x200 Absan Sanat,Тройник переходник,250x200,Размер,2,dona,556600,UZS,556600,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0083,troynik-perehodnik-315x250-absan-sanat,Тройник переходник 315x250 Absan Sanat,Тройник переходник,315x250,Размер,1,dona,968000,UZS,968000,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0084,pol-otvod-75-absan-sanat,Пол отвод 75 Absan Sanat,Пол отвод,75,Размер,25,dona,25410,UZS,25410,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0085,pol-otvod-90-absan-sanat,Пол отвод 90 Absan Sanat,Пол отвод,90,Размер,20,dona,36300,UZS,36300,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0086,pol-otvod-110-absan-sanat,Пол отвод 110 Absan Sanat,Пол отвод,110,Размер,,dona,50820,UZS,50820,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0087,pol-otvod-160-absan-sanat,Пол отвод 160 Absan Sanat,Пол отвод,160,Размер,10,dona,145200,UZS,145200,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0088,pol-otvod-200-absan-sanat,Пол отвод 200 Absan Sanat,Пол отвод,200,Размер,4,dona,266200,UZS,266200,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0089,pol-otvod-250-absan-sanat,Пол отвод 250 Absan Sanat,Пол отвод,250,Размер,2,dona,363000,UZS,363000,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
NG-0090,pol-otvod-315-absan-sanat,Пол отвод 315 Absan Sanat,Пол отвод,315,Размер,1,dona,786500,UZS,786500,UZS,Absan Sanat,Truba va fitinglar,Фитинг полиэтиленовый,"OOO ""SANTEX MAKON""",2026-07-21,TRUE,FALSE
